1,shampoo,Turismo,99,Nissan,48280
2,brocha,Automovil,100,Zeno,55860
3,olla a presion,Tecnologia,2,CosmicX,21320
4,pega,Turismo,4,Starlight,30220
5,destornillador,Finanzas,32,Coca-Cola,16040
6,alfombra,Automovil,34,Microsoft,17610
7,shampoo,Entretenimiento,85,Hyperion,60560
8,camara,Deporte,36,CosmicX,82570
9,etiquetas,Moda,87,Samsung,63320
10,jarra,Deporte,79,Orbital,18220
11,mueble,Belleza,75,Hyperion,45860
12,candelabro,Entretenimiento,67,Toyota,28800
13,olla a presion,Cine,65,AstroTech,27320
14,reloj,Lectura,38,Orbital,35760
15,destornillador,Jardineria,58,Ford,36020
16,cafetera,Belleza,30,Cosmo,88790
17,caja,Juegos,16,Aurora,42800
18,llave inglesa,Cine,65,McDonalds,78020
19,silla,Deporte,28,Toyota,21610
20,bol,Moda,11,Quasar,18680
21,consola,Finanzas,73,Nike,82040
22,brocha,Tecnologia,95,Ford,45800
23,destornillador,Jardineria,81,NebulaNexus,84560
24,tenedor,Tecnologia,47,NebulaPro,18640
25,mochila,Belleza,58,CosmicPro,21660
26,libro,Automovil,51,Cosmic,19110
27,caja,Moda,31,Nova,61510
28,mu�eco,Entretenimiento,4,McDonalds,84040
29,martillo,Cine,23,NebulaNexus,51400
30,destornillador,Limpieza,2,Nissan,97970
31,tele,Tecnologia,2,AstroTech,97080
32,escritorio,Entretenimiento,40,OrbitalNexus,40480
33,pintura,Musica,67,NanoTech,95050
34,cinta embalaje,Cine,47,Kia,67560
35,mu�eco,Bricolaje,93,McDonalds,11850
36,boligrafo,Moda,19,Nike,34030
37,escritorio,Comida,70,CosmicWave,40890
38,colchon,Limpieza,45,CosmicPro,11580
39,mochila,Deporte,23,Starlight,39030
40,pantalla,Deporte,11,Sony,90800
41,cuaderno,Tecnologia,13,NebulaTech,45260
42,pincel,Arte,24,Astro,93140
43,cuaderno,Tecnologia,58,Nike,59840
44,celular,Automovil,85,OrbitalNexus,35740
